NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:26:38	226676.59644540
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
-2237.893	823.216	1007.357	-2262.460	577.961	1005.126	-2286.709	632.859	468.853	-2321.614	537.436	496.914	-2676.849	677.921	288.970	-2646.484	611.127	267.231	-2573.423	564.121	58.343	-2430.875	710.673	998.909
-2234.340	823.831	1007.850	-2258.577	578.749	1006.032	-2278.317	632.801	469.955	-2313.528	537.387	497.895	-2667.915	677.889	287.775	-2637.215	611.275	266.779	-2561.523	563.421	58.605	-2427.278	710.756	999.669
-2228.890	826.505	1006.777	-2254.652	579.504	1007.080	-2270.254	632.855	471.175	-2305.602	537.402	498.883	-2658.770	677.860	286.222	-2627.804	611.204	265.879	-2549.300	562.708	59.113	-2423.753	710.828	1000.471
-2225.734	827.051	1007.411	-2251.293	579.639	1008.608	-2262.049	633.041	472.266	-2297.540	537.481	499.680	-2649.638	677.976	284.387	-2618.020	611.095	264.421	-2536.910	561.872	59.166	-2420.154	710.933	1001.146
-2222.443	827.852	1007.211	-2247.508	580.346	1009.574	-2253.922	633.201	473.329	-2289.738	537.529	500.818	-2640.351	677.687	282.506	-2608.408	610.915	263.400	-2524.772	561.488	58.609	-2416.616	711.008	1001.913
-2219.125	828.226	1007.563	-2243.882	581.001	1010.504	-2245.984	633.359	474.661	-2281.765	537.594	501.679	-2631.028	677.636	280.126	-2598.675	610.757	261.860	-2511.875	560.495	58.687	-2413.150	711.099	1002.624
-2215.634	828.933	1007.600	-2239.704	582.236	1011.104	-2238.054	633.686	476.012	-2273.927	537.763	502.432	-2621.857	677.131	278.209	-2588.840	610.505	260.130	-2499.049	559.806	57.930	-2409.618	711.179	1003.315
-2212.366	829.340	1007.830	-2235.995	582.845	1012.064	-2230.016	633.963	477.075	-2266.101	537.930	503.417	-2610.269	677.708	275.243	-2579.024	610.236	258.439	-2485.995	559.208	57.230	-2406.221	711.378	1003.972
-2209.221	829.693	1008.153	-2232.584	583.412	1013.085	-2222.016	634.195	478.319	-2258.384	538.138	504.282	-2600.756	677.171	272.494	-2568.894	609.866	256.240	-2472.475	558.117	57.331	-2402.872	711.506	1004.713
-2205.978	830.185	1008.056	-2229.112	583.960	1013.861	-2214.181	634.407	479.663	-2250.794	538.369	505.340	-2591.011	676.884	269.198	-2558.582	609.378	253.868	-2459.106	557.298	56.596	-2399.510	711.686	1005.306
-2202.798	830.654	1007.817	-2225.614	584.461	1014.616	-2206.323	634.708	480.972	-2243.196	538.612	506.305	-2581.366	676.160	266.130	-2548.425	608.948	251.521	-2445.368	556.536	55.649	-2396.173	711.852	1005.966
-2199.802	830.956	1007.840	-2222.066	584.960	1015.283	-2198.668	635.011	482.290	-2235.572	538.860	507.262	-2571.508	675.673	262.577	-2537.946	608.440	248.834	-2431.157	555.426	55.329	-2392.825	712.064	1006.457
-2198.340	829.285	1008.854	-2218.920	585.379	1016.099	-2190.938	635.432	483.557	-2227.931	539.211	508.044	-2561.691	675.151	258.953	-2527.481	607.927	246.033	-2416.848	554.427	54.902	-2389.543	712.169	1006.977
