NO_OF_FRAMES	7200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:55:03	228381.22308140
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	heel	toe	sacral
ASISL X	ASISL Y	ASISL Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	heel X	heel Y	heel Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	547.416	269.003	498.371	426.093	179.832	518.634	338.692	293.671	130.546	265.964	239.852	134.351	205.881	328.023	29.216	466.072	119.650	61.833	108.058	601.962	698.568
0.000	0.000	0.000	547.273	269.027	498.354	425.962	179.913	518.712	338.680	293.667	130.557	265.908	239.839	134.316	205.871	328.050	29.205	466.041	119.647	61.850	107.970	601.973	699.107
0.000	0.000	0.000	547.154	269.086	498.438	425.886	179.995	518.745	338.640	293.678	130.534	265.845	239.941	134.320	205.870	328.073	29.178	466.037	119.670	61.856	108.031	602.050	699.655
0.000	0.000	0.000	547.073	269.163	498.435	425.833	180.098	518.794	338.618	293.656	130.544	265.781	239.891	134.262	205.835	328.058	29.150	466.041	119.696	61.890	108.086	602.099	700.143
0.000	0.000	0.000	546.981	269.244	498.450	425.799	180.159	518.848	338.610	293.623	130.565	265.790	239.882	134.326	205.842	328.033	29.118	466.033	119.700	61.909	108.177	602.205	700.621
0.000	0.000	0.000	546.883	269.337	498.452	425.784	180.273	518.875	338.591	293.641	130.518	265.838	239.802	134.235	205.847	328.014	29.118	466.021	119.672	61.923	108.222	602.270	701.181
0.000	0.000	0.000	546.802	269.447	498.471	425.749	180.360	518.959	338.573	293.655	130.561	265.773	239.774	134.208	205.843	327.994	29.074	466.045	119.684	61.940	108.219	602.296	701.684
0.000	0.000	0.000	546.729	269.567	498.487	425.695	180.514	519.019	338.564	293.654	130.543	265.802	239.773	134.265	205.824	327.993	29.057	466.050	119.712	61.926	108.194	602.332	702.137
0.000	0.000	0.000	546.657	269.719	498.477	425.678	180.632	519.072	338.576	293.635	130.540	265.766	239.764	134.197	205.796	327.998	29.031	466.008	119.708	61.961	108.207	602.401	702.610
0.000	0.000	0.000	546.561	269.893	498.475	425.665	180.844	519.087	338.557	293.704	130.531	265.803	239.760	134.246	205.787	328.008	29.028	466.012	119.737	61.957	108.228	602.520	703.034
0.000	0.000	0.000	546.461	270.092	498.468	425.646	180.987	519.105	338.509	293.674	130.496	265.754	239.885	134.273	205.825	328.045	28.987	466.018	119.756	61.955	108.294	602.578	703.556
0.000	0.000	0.000	546.409	270.222	498.435	425.626	181.121	519.159	338.495	293.663	130.490	265.711	239.875	134.210	205.806	328.044	28.982	466.015	119.747	61.971	108.241	602.602	704.161
0.000	0.000	0.000	546.351	270.447	498.452	425.651	181.268	519.200	338.496	293.673	130.501	265.672	239.838	134.226	205.796	328.034	28.948	466.012	119.752	61.971	108.239	602.643	704.732
0.000	0.000	0.000	546.294	270.647	498.428	425.685	181.455	519.233	338.488	293.710	130.479	265.672	239.855	134.212	205.774	327.988	28.944	466.025	119.748	61.983	108.213	602.713	705.131
0.000	0.000	0.000	546.224	270.947	498.434	425.725	181.617	519.315	338.490	293.708	130.486	265.662	239.838	134.202	205.747	327.943	28.882	466.004	119.759	61.999	108.202	602.754	705.518
0.000	0.000	0.000	546.176	271.213	498.404	425.746	181.829	519.331	338.476	293.742	130.471	265.637	239.816	134.079	205.747	327.917	28.854	465.987	119.771	62.003	108.156	602.815	705.940
0.000	0.000	0.000	546.125	271.490	498.422	425.781	182.073	519.393	338.439	293.750	130.473	265.639	239.805	134.228	205.734	327.917	28.838	466.038	119.781	62.013	108.108	602.852	706.404
0.000	0.000	0.000	546.099	271.779	498.411	425.793	182.293	519.443	338.411	293.775	130.453	265.551	239.896	134.091	205.730	327.961	28.795	465.991	119.796	62.048	108.004	602.827	706.940
0.000	0.000	0.000	546.031	272.064	498.443	425.821	182.539	519.473	338.367	293.754	130.439	265.549	239.878	134.105	205.714	327.980	28.814	466.011	119.837	62.051	107.905	602.829	707.437
0.000	0.000	0.000	545.986	272.374	498.441	425.844	182.773	519.520	338.352	293.788	130.443	265.554	239.926	134.187	205.686	327.944	28.765	465.991	119.845	62.081	107.826	602.825	707.846
0.000	0.000	0.000	545.988	272.696	498.442	425.910	183.040	519.546	338.334	293.819	130.409	265.566	239.932	134.171	205.648	327.921	28.746	465.982	119.882	62.112	107.838	602.870	708.344
0.000	0.000	0.000	545.929	273.059	498.391	425.955	183.323	519.619	338.339	293.833	130.379	265.512	239.954	134.137	205.666	327.939	28.654	465.981	119.917	62.113	107.736	602.835	708.770
0.000	0.000	0.000	545.847	273.406	498.388	426.060	183.589	519.637	338.318	293.867	130.402	265.442	239.989	134.092	205.614	327.860	28.640	465.980	119.912	62.148	107.571	602.757	709.246
0.000	0.000	0.000	545.820	273.782	498.398	426.074	183.901	519.700	338.309	293.889	130.350	265.536	239.934	134.135	205.595	327.824	28.618	465.965	119.918	62.167	107.457	602.725	709.665
0.000	0.000	0.000	545.795	274.165	498.417	426.121	184.177	519.712	338.305	293.946	130.341	265.440	240.044	134.056	205.579	327.860	28.586	465.936	119.948	62.208	107.394	602.750	710.064
0.000	0.000	0.000	545.742	274.492	498.421	426.158	184.459	519.718	338.288	293.969	130.314	265.456	240.058	134.141	205.546	327.881	28.554	465.940	119.978	62.239	107.297	602.746	710.521
0.000	0.000	0.000	545.685	274.846	498.378	426.190	184.701	519.734	338.272	294.016	130.277	265.439	240.164	134.081	205.567	327.902	28.533	465.939	119.985	62.251	107.130	602.732	710.971
0.000	0.000	0.000	545.616	275.172	498.316	426.197	184.999	519.693	338.268	294.078	130.187	265.406	240.211	134.084	205.540	327.892	28.512	465.931	120.026	62.255	106.934	602.614	711.426
0.000	0.000	0.000	545.553	275.497	498.326	426.223	185.241	519.730	338.255	294.109	130.195	265.388	240.223	134.079	205.556	327.902	28.446	465.898	120.008	62.252	106.859	602.618	711.867
0.000	0.000	0.000	545.508	275.807	498.263	426.300	185.495	519.721	338.237	294.077	130.133	265.405	240.187	134.041	205.540	327.853	28.378	465.885	120.035	62.328	106.723	602.581	712.228
0.000	0.000	0.000	545.460	276.191	498.210	426.333	185.769	519.682	338.216	294.171	130.106	265.334	240.225	133.939	205.515	327.842	28.334	465.920	120.037	62.254	106.652	602.610	712.632
0.000	0.000	0.000	545.377	276.554	498.211	426.396	186.024	519.673	338.180	294.171	130.090	265.298	240.234	133.917	205.507	327.842	28.288	465.933	120.054	62.290	106.560	602.594	712.995
0.000	0.000	0.000	545.325	276.905	498.156	426.488	186.237	519.710	338.182	294.226	130.062	265.294	240.255	133.899	205.481	327.804	28.265	465.924	120.096	62.318	106.394	602.530	713.421
0.000	0.000	0.000	545.310	277.229	498.107	426.523	186.561	519.684	338.162	294.254	130.034	265.237	240.268	133.936	205.484	327.836	28.242	465.940	120.103	62.338	106.272	602.506	713.841
0.000	0.000	0.000	545.273	277.512	498.086	426.507	186.831	519.706	338.115	294.234	129.995	265.173	240.384	133.914	205.482	327.842	28.201	465.923	120.103	62.335	106.166	602.505	714.250
0.000	0.000	0.000	545.159	277.821	498.008	426.540	187.032	519.701	338.047	294.267	129.959	265.145	240.354	133.816	205.442	327.850	28.184	465.872	120.166	62.364	106.131	602.491	714.625
0.000	0.000	0.000	545.070	278.124	497.940	426.557	187.284	519.701	338.038	294.269	129.922	265.102	240.366	133.799	205.450	327.837	28.150	465.866	120.150	62.403	106.057	602.458	714.984
0.000	0.000	0.000	545.044	278.382	497.891	426.585	187.495	519.722	337.991	294.310	129.875	265.045	240.312	133.737	205.421	327.817	28.104	465.875	120.168	62.376	105.910	602.391	715.393
0.000	0.000	0.000	544.980	278.667	497.854	426.638	187.687	519.752	337.982	294.295	129.867	265.054	240.295	133.729	205.403	327.778	28.078	465.872	120.174	62.412	105.850	602.378	715.862
0.000	0.000	0.000	544.921	278.973	497.810	426.632	187.930	519.772	337.919	294.317	129.875	264.954	240.256	133.767	205.391	327.739	28.056	465.860	120.180	62.437	105.807	602.323	716.307
0.000	0.000	0.000	544.889	279.279	497.775	426.678	188.118	519.802	337.875	294.325	129.852	264.998	240.207	133.640	205.367	327.716	28.013	465.836	120.188	62.429	105.785	602.371	716.648
