NO_OF_FRAMES	7200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:29:21	226839.36048560
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	111.474	609.380	547.081	445.460	578.704	421.712	402.071	478.342	432.297	162.098	575.433	82.460	214.826	517.794	106.063	415.373	456.453	55.984	-62.011	721.922	580.856
0.000	0.000	0.000	111.474	609.411	547.105	445.486	578.678	421.751	402.071	478.342	432.306	162.078	575.413	82.491	214.812	517.791	106.015	415.415	456.468	55.990	-62.045	721.906	580.874
0.000	0.000	0.000	111.471	609.334	547.140	445.464	578.636	421.763	402.051	478.308	432.286	162.124	575.424	82.507	214.837	517.782	106.044	415.381	456.443	55.977	-62.059	721.903	580.881
0.000	0.000	0.000	111.511	609.325	547.175	445.461	578.598	421.782	402.038	478.256	432.306	162.060	575.364	82.439	214.840	517.713	105.989	415.415	456.400	56.002	-62.025	721.860	580.898
0.000	0.000	0.000	111.447	609.296	547.195	445.433	578.576	421.782	402.038	478.166	432.308	162.114	575.342	82.488	214.840	517.694	105.995	415.425	456.394	55.977	-62.061	721.824	580.923
0.000	0.000	0.000	111.439	609.232	547.228	445.400	578.531	421.793	402.019	478.134	432.284	162.127	575.339	82.467	214.853	517.697	105.979	415.418	456.395	55.974	-62.038	721.816	580.964
0.000	0.000	0.000	111.467	609.153	547.268	445.361	578.514	421.809	401.989	478.099	432.332	162.092	575.357	82.466	214.887	517.724	105.983	415.391	456.388	55.984	-62.114	721.847	580.995
0.000	0.000	0.000	111.398	609.105	547.322	445.345	578.464	421.853	401.910	478.108	432.315	162.088	575.398	82.459	214.892	517.745	105.967	415.377	456.403	55.985	-62.115	721.862	581.045
0.000	0.000	0.000	111.372	609.101	547.361	445.320	578.442	421.893	401.845	478.096	432.337	162.084	575.445	82.444	214.821	517.737	106.005	415.348	456.418	56.010	-62.180	721.853	581.095
0.000	0.000	0.000	111.369	609.039	547.441	445.275	578.379	421.919	401.804	478.074	432.338	162.125	575.480	82.461	214.785	517.755	105.983	415.341	456.443	56.014	-62.158	721.875	581.147
0.000	0.000	0.000	111.259	609.052	547.516	445.207	578.333	421.976	401.805	478.038	432.378	162.095	575.454	82.449	214.821	517.710	106.002	415.382	456.414	56.021	-62.196	721.867	581.143
0.000	0.000	0.000	111.322	608.914	547.614	445.133	578.279	422.051	401.728	477.963	432.385	162.096	575.386	82.437	214.854	517.694	105.952	415.375	456.398	56.019	-62.180	721.822	581.227
0.000	0.000	0.000	111.288	608.882	547.641	445.096	578.267	422.108	401.681	477.902	432.386	162.081	575.330	82.394	214.836	517.618	105.968	415.388	456.366	56.008	-62.207	721.781	581.340
0.000	0.000	0.000	111.183	608.879	547.692	445.043	578.207	422.085	401.616	477.858	432.468	162.084	575.332	82.396	214.840	517.648	105.975	415.374	456.387	56.045	-62.228	721.757	581.378
