NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:50:02	228080.26681630
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	heel	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	heel X	heel Y	heel Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	-2925.301	549.848	1053.617	-2955.057	664.829	546.839	0.000	0.000	0.000	-3049.265	648.165	132.315	0.000	0.000	0.000	0.000	0.000	0.000	-2835.436	608.483	73.443	-3133.288	702.721	1080.806
0.000	0.000	0.000	-2925.335	549.997	1053.663	-2955.115	664.832	546.834	0.000	0.000	0.000	-3049.248	648.155	132.335	0.000	0.000	0.000	0.000	0.000	0.000	-2835.375	608.484	73.501	-3133.350	702.904	1080.792
0.000	0.000	0.000	-2923.509	550.963	1053.730	-2955.181	664.953	546.894	0.000	0.000	0.000	-3049.265	648.172	132.311	0.000	0.000	0.000	0.000	0.000	0.000	-2835.608	608.555	73.605	-3133.445	703.126	1080.776
0.000	0.000	0.000	-2925.537	550.359	1053.694	-2955.287	665.047	546.893	0.000	0.000	0.000	-3049.295	648.147	132.308	0.000	0.000	0.000	0.000	0.000	0.000	-2835.463	608.526	73.565	-3133.546	703.344	1080.777
0.000	0.000	0.000	-2925.785	550.796	1053.036	-2955.220	665.149	546.925	0.000	0.000	0.000	-3049.313	648.164	132.283	0.000	0.000	0.000	0.000	0.000	0.000	-2835.644	608.528	73.656	-3133.710	703.574	1080.811
-2910.367	830.042	1051.461	-2923.793	551.734	1053.191	-2955.444	665.300	546.812	0.000	0.000	0.000	-3049.273	648.090	132.296	0.000	0.000	0.000	0.000	0.000	0.000	-2835.508	608.528	73.585	-3133.833	703.784	1080.786
-2910.351	830.145	1051.491	-2924.181	551.905	1053.195	-2955.385	665.310	546.891	0.000	0.000	0.000	-3049.325	648.134	132.228	0.000	0.000	0.000	0.000	0.000	0.000	-2835.626	608.517	73.645	-3133.910	704.001	1080.672
-2910.551	830.323	1051.463	-2924.318	552.122	1053.223	-2955.516	665.437	546.882	0.000	0.000	0.000	-3049.369	648.076	132.240	0.000	0.000	0.000	0.000	0.000	0.000	-2835.673	608.496	73.697	-3134.007	704.194	1080.645
-2910.568	830.479	1051.411	-2926.209	551.698	1052.975	-2955.443	665.475	546.907	0.000	0.000	0.000	-3049.268	648.046	132.263	0.000	0.000	0.000	0.000	0.000	0.000	-2835.609	608.529	73.686	-3134.075	704.408	1080.573
-2910.528	830.650	1051.390	-2925.946	553.391	1053.067	-2955.589	665.589	546.897	0.000	0.000	0.000	-3049.381	648.050	132.181	0.000	0.000	0.000	0.000	0.000	0.000	-2835.597	608.525	73.689	-3134.167	704.606	1080.533
-2910.420	830.766	1051.462	-2926.668	552.321	1053.377	-2955.658	665.684	546.839	0.000	0.000	0.000	-3049.320	648.094	132.192	0.000	0.000	0.000	0.000	0.000	0.000	-2835.693	608.512	73.661	-3134.266	704.802	1080.496
-2910.605	831.096	1051.239	-2926.168	553.823	1052.952	-2955.551	665.698	546.899	0.000	0.000	0.000	-3049.352	648.058	132.232	0.000	0.000	0.000	0.000	0.000	0.000	-2835.707	608.492	73.697	-3134.419	705.073	1080.501
-2910.798	831.287	1051.231	-2926.980	552.636	1053.486	-2955.658	665.818	546.805	0.000	0.000	0.000	-3049.379	647.987	132.266	0.000	0.000	0.000	0.000	0.000	0.000	-2835.703	608.503	73.665	-3134.556	705.296	1080.515
-2910.666	831.379	1051.091	-2926.975	552.786	1053.101	-2955.612	665.882	546.883	0.000	0.000	0.000	-3049.329	648.000	132.222	0.000	0.000	0.000	0.000	0.000	0.000	-2835.702	608.510	73.674	-3134.703	705.546	1080.508
-2910.862	831.762	1051.083	-2927.021	552.931	1053.214	-2956.041	666.190	546.458	0.000	0.000	0.000	-3049.391	647.956	132.211	0.000	0.000	0.000	0.000	0.000	0.000	-2835.672	608.490	73.713	-3134.797	705.741	1080.487
-2911.009	832.088	1051.093	-2927.206	553.139	1053.297	-2956.083	666.284	546.457	0.000	0.000	0.000	-3049.343	647.965	132.238	0.000	0.000	0.000	0.000	0.000	0.000	-2835.720	608.536	73.692	-3134.855	705.959	1080.446
-2911.118	832.368	1051.117	-2927.164	553.306	1053.370	-2956.176	666.400	546.480	0.000	0.000	0.000	-3049.391	647.957	132.211	0.000	0.000	0.000	0.000	0.000	0.000	-2835.707	608.536	73.684	-3134.920	706.178	1080.375
-2911.200	832.613	1051.147	-2927.352	553.508	1053.402	-2956.082	666.459	546.532	0.000	0.000	0.000	-3049.307	647.942	132.211	0.000	0.000	0.000	0.000	0.000	0.000	-2835.727	608.551	73.722	-3134.992	706.390	1080.326
-2911.267	832.831	1051.178	-2927.439	553.685	1053.418	-2956.173	666.593	546.530	0.000	0.000	0.000	-3049.339	647.908	132.250	0.000	0.000	0.000	0.000	0.000	0.000	-2835.694	608.499	73.733	-3135.120	706.622	1080.326
-2911.332	833.034	1051.206	-2925.635	554.488	1053.598	-2956.068	666.629	546.581	0.000	0.000	0.000	-3049.355	647.938	132.181	0.000	0.000	0.000	0.000	0.000	0.000	-2835.619	608.491	73.805	-3135.287	706.880	1080.373
-2911.406	833.231	1051.224	-2925.710	554.668	1053.654	-2956.113	666.738	546.632	0.000	0.000	0.000	-3049.307	647.946	132.208	0.000	0.000	0.000	0.000	0.000	0.000	-2835.776	608.518	73.748	-3135.430	707.123	1080.402
-2911.500	833.432	1051.226	-2925.789	554.849	1053.639	-2956.095	666.834	546.619	0.000	0.000	0.000	-3049.339	647.912	132.247	0.000	0.000	0.000	0.000	0.000	0.000	-2835.678	608.504	73.747	-3135.552	707.365	1080.363
-2911.626	833.647	1051.207	-2925.965	555.089	1053.736	-2956.140	666.908	546.641	0.000	0.000	0.000	-3049.322	647.898	132.270	0.000	0.000	0.000	0.000	0.000	0.000	-2835.732	608.564	73.728	-3135.679	707.593	1080.349
-2911.656	833.835	1051.161	-2925.942	555.209	1053.710	-2956.006	667.027	546.684	0.000	0.000	0.000	-3049.305	647.878	132.264	0.000	0.000	0.000	0.000	0.000	0.000	-2835.751	608.570	73.692	-3135.797	707.800	1080.338
-2911.662	834.002	1051.228	-2925.991	555.387	1053.825	-2955.884	667.095	546.793	0.000	0.000	0.000	-3049.238	647.884	132.269	0.000	0.000	0.000	0.000	0.000	0.000	-2835.752	608.546	73.733	-3135.838	708.022	1080.331
-2911.667	834.234	1051.120	-2926.223	555.543	1053.935	-2955.846	667.198	546.768	0.000	0.000	0.000	-3049.210	647.895	132.318	0.000	0.000	0.000	0.000	0.000	0.000	-2835.793	608.537	73.709	-3135.878	708.252	1080.266
-2911.819	834.553	1051.037	-2926.006	555.488	1054.484	-2955.833	667.375	546.874	0.000	0.000	0.000	-3049.162	647.903	132.345	0.000	0.000	0.000	0.000	0.000	0.000	-2835.601	608.590	73.771	-3135.966	708.514	1080.220
-2911.913	834.759	1050.987	-2926.012	555.708	1054.441	-2955.847	667.494	546.886	0.000	0.000	0.000	-3049.192	647.882	132.340	0.000	0.000	0.000	0.000	0.000	0.000	-2835.653	608.574	73.742	-3136.148	708.768	1080.242
-2911.975	835.024	1050.960	-2926.577	556.074	1054.013	-2955.783	667.594	546.943	0.000	0.000	0.000	-3049.145	647.883	132.339	0.000	0.000	0.000	0.000	0.000	0.000	-2835.689	608.577	73.746	-3136.261	709.008	1080.217
-2911.982	835.298	1050.911	-2926.505	556.275	1054.070	-2955.846	667.712	547.009	0.000	0.000	0.000	-3049.146	647.879	132.411	0.000	0.000	0.000	0.000	0.000	0.000	-2835.723	608.606	73.678	-3136.334	709.241	1080.204
-2912.087	835.555	1050.959	-2926.810	556.420	1054.153	-2955.973	667.861	547.014	0.000	0.000	0.000	-3049.143	647.817	132.426	0.000	0.000	0.000	0.000	0.000	0.000	-2835.742	608.557	73.720	-3136.470	709.465	1080.188
-2912.238	835.788	1051.071	-2926.920	556.716	1054.130	-2955.972	667.934	547.025	0.000	0.000	0.000	-3049.131	647.843	132.452	0.000	0.000	0.000	0.000	0.000	0.000	-2835.684	608.565	73.709	-3136.500	709.667	1080.155
-2912.386	835.993	1051.211	-2928.966	556.232	1054.136	-2955.965	668.047	547.051	0.000	0.000	0.000	-3048.981	647.832	132.459	0.000	0.000	0.000	0.000	0.000	0.000	-2835.657	608.559	73.698	-3136.529	709.871	1080.126
-2912.478	836.164	1051.348	-2929.036	556.459	1054.173	-2956.071	668.170	547.055	0.000	0.000	0.000	-3049.031	647.814	132.475	0.000	0.000	0.000	0.000	0.000	0.000	-2835.766	608.548	73.690	-3136.623	710.087	1080.126
-2912.463	836.295	1051.445	-2929.204	556.709	1054.121	-2956.076	668.254	547.101	0.000	0.000	0.000	-3049.019	647.840	132.500	0.000	0.000	0.000	0.000	0.000	0.000	-2835.823	608.617	73.656	-3136.666	710.310	1080.103
-2912.537	836.400	1051.775	-2929.433	557.082	1054.583	-2955.940	668.327	547.173	0.000	0.000	0.000	-3048.985	647.810	132.546	0.000	0.000	0.000	0.000	0.000	0.000	-2835.766	608.602	73.629	-3136.773	710.547	1080.113
-2912.597	836.574	1051.749	-2929.569	557.288	1054.636	-2956.041	668.485	547.218	0.000	0.000	0.000	-3048.967	647.795	132.569	0.000	0.000	0.000	0.000	0.000	0.000	-2835.665	608.558	73.710	-3136.871	710.758	1080.136
-2912.681	836.716	1051.891	-2929.613	557.478	1054.283	-2956.027	668.554	547.216	0.000	0.000	0.000	-3048.951	647.772	132.566	0.000	0.000	0.000	0.000	0.000	0.000	-2835.668	608.557	73.708	-3136.938	711.019	1080.140
-2912.584	836.798	1051.908	-2929.611	557.583	1054.446	-2955.502	668.438	547.770	0.000	0.000	0.000	-3048.938	647.807	132.617	0.000	0.000	0.000	0.000	0.000	0.000	-2835.663	608.581	73.672	-3136.984	711.207	1080.120
-2912.648	836.974	1051.957	-2929.620	557.741	1054.528	-2955.440	668.516	547.822	0.000	0.000	0.000	-3048.922	647.786	132.612	0.000	0.000	0.000	0.000	0.000	0.000	-2835.634	608.578	73.724	-3137.026	711.397	1080.120
